LocationNameFull,LocationName,LocationX,LocationY
"Whitsunday Islands, Queensland",Whitsunday,149.0,-20.2
"Kakadu National Park, Northern Territory",Kakadu,132.5,-11.1
"Margaret River, Western Australia",MargaretRiver,113.9,-27.8
"Sydney, New South Wales",Sydney,151.3,-32.2
"Broome, Western Australia",Broome,122.3,-16.1
"Freycinet National Park, Tasmania",FreycinetPark,150.5,-38.8
"Uluru, Northern Territory",Uluru,131.0,-25.3
"Daintree Rainforest, Queensland",Daintree,145.4,-16.2
"Fraser Island, Queensland",FraserIsland,153.4,-25.0
"Melbourne, Victoria",Melbourne,145.1,-37.9
"Rottnest Island, Perth, Western Australia",Perth,116.0,-25.3
"Hobart, Tasmania",Hobart,147.3,-42.8
"Barossa Valley, Adelaide, South Australia",Adelaide,139.3,-33.0
"Karijini National Park, Western Australia",KarijiniPark,118.3,-22.7
"Gold Coast, Queensland",GoldCoast,153.4,-28.0
"Kangaroo Island, South Australia",KangarooIsland,137.2,-35.8
